"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","31","14","0","0","0","0","13","0","58","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","555","421","3","1","5","0","318","1","1,304","0","COUNTY TRANSFER - OUT","523","372","2","1","3","0","221","0","1,122"
"DESIGNATED STATE AGENCIES","7","7","0","0","0","0","11","0","25","0","CRIMINAL CONVICTION","27","13","1","0","0","0","17","0","58"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","17","10","0","0","0","0","1","0","28"
"FROM ANOTHER BOARD","0","1","0","0","0","0","1","0","2","0","DUPLICATE","6","7","0","0","0","0","4","0","17"
"PROVISIONAL BALLOT","3","4","0","0","0","0","0","0","7","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","37","23","0","0","0","0","19","0","79","0","MENTAL INCOMPETENCY","3","5","0","0","0","0","6","0","14"
"MOTOR VEHICLE ADMINISTRATION","463","361","7","1","9","0","341","0","1,182","0","MOVED OUT OF STATE","97","93","0","0","0","0","52","0","242"
"NVRA BY MAIL","26","30","0","0","0","0","18","0","74","0","OTHER","5","2","0","0","0","0","6","0","13"
"OTHER MEANS","35","21","0","0","0","0","13","0","69","0","VOTER REQUEST","9","11","0","0","0","0","7","0","27"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","24","29","1","0","0","0","20","0","74","0","","","","","","","","","",""
"TOTAL","1,181","911","11","2","14","0","754","1","2,874","0","TOTAL","687","513","3","1","3","0","314","0","1,521"
