"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","276","67","19","19","2","0","0","0","20","3","63","16,968","19,745","108","7","49","1","4,299","432","41,609","0","2,325"
"ANNE ARUNDEL","1,656","101","8","6","0","0","1","0","7","0","22","135,125","119,317","848","87","555","16","53,862","77","309,887","10","15,989"
"BALTIMORE CITY","2,127","415","136","71","12","0","2","2","140","7","370","264,333","31,745","1,592","56","343","24","34,032","961","333,086","2,381","19,213"
"BALTIMORE CO.","1,993","777","104","77","4","0","6","0","165","51","407","270,861","126,205","1,281","70","760","7","53,460","5,780","458,424","8","27,994"
"CALVERT","613","281","36","32","1","0","0","0","29","8","106","20,855","21,339","101","8","76","0","8,065","492","50,936","9","4,944"
"CAROLINE","122","75","3","4","0","0","0","0","6","0","13","6,919","6,670","27","8","57","1","2,436","141","16,259","1","803"
"CARROLL","497","280","61","49","0","0","0","0","54","1","165","32,899","52,426","234","26","149","1","14,031","14","99,780","56","6,472"
"CECIL","791","107","21","24","3","0","0","0","20","1","69","22,202","20,599","113","27","94","1","8,977","701","52,714","4","4,325"
"CHARLES","845","322","42","55","3","3","0","0","66","15","184","39,102","25,943","101","16","91","3","11,810","902","77,968","11","3,793"
"DORCHESTER","81","41","4","5","0","0","0","0","13","0","22","9,652","6,636","20","5","20","1","1,851","183","18,368","0","779"
"FREDERICK","794","227","38","24","0","0","0","0","58","3","123","46,342","57,474","338","8","210","3","22,716","53","127,144","0","14,779"
"GARRETT","44","7","2","6","0","0","1","0","1","3","13","5,122","11,095","28","3","22","1","1,361","200","17,832","0","375"
"HARFORD","850","572","77","61","3","0","0","0","82","1","224","59,632","58,931","245","20","208","3","17,728","264","137,031","7","10,067"
"HOWARD","1,066","64","0","1","0","0","0","0","13","2","16","76,791","55,687","433","17","258","7","29,585","1,717","164,495","1","15,247"
"KENT","29","6","6","2","0","0","1","0","7","0","16","6,079","4,320","39","0","13","1","1,433","127","12,012","0","76"
"MONTGOMERY","4,223","1,059","179","160","7","1","1","1","488","20","857","275,518","125,233","1,378","57","669","17","104,472","1,134","508,478","32","34,379"
"PR. GEORGE'S","2,801","515","88","58","4","1","4","0","125","156","436","329,369","48,963","622","76","445","23","27,716","34,919","442,133","0","29,420"
"QUEEN ANNE'S","191","82","13","9","1","0","0","0","11","1","35","10,891","13,302","50","5","72","1","3,754","236","28,311","0","858"
"ST. MARY'S","552","151","22","31","0","0","0","0","31","3","87","22,555","21,106","130","18","85","1","8,280","579","52,754","2","2,147"
"SOMERSET","510","62","5","2","0","0","0","0","3","0","10","7,060","4,014","10","2","8","0","1,315","101","12,510","6","902"
"TALBOT","76","41","4","8","0","0","1","0","3","0","16","10,231","11,351","59","6","66","2","3,529","325","25,569","1","1,082"
"WASHINGTON","491","151","38","29","0","0","1","0","34","5","107","30,597","36,710","208","14","124","3","11,427","942","80,025","2","5,947"
"WICOMICO","406","148","34","22","0","0","1","0","35","4","96","23,140","18,980","83","9","84","1","6,991","590","49,878","11","2,383"
"WORCESTER","306","92","16","13","0","0","1","0","14","2","46","15,468","13,212","67","6","60","2","4,708","441","33,964","0","2,218"
"TOTAL","21,340","5,643","956","768","40","5","20","3","1,425","286","3,503","1,737,711","911,003","8,115","551","4,518","120","437,838","51,311","3,151,167","2,542","206,517"
