"NEW REGISTRATION BY PARTY
REMOVALS
Garrett","","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","3","10","0","0","0","0","0","0","13","0","COUNTY TRANSFER - OUT","23","22","0","0","0","0","5","0","50"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","3","0","0","0","0","0","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","14","11","0","0","0","0","2","0","27"
"FROM ANOTHER BOARD","6","5","0","0","0","0","2","0","13","0","DUPLICATE","0","2","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","14","14","0","0","0","0","13","1","42","5","MOVED OUT OF STATE","0","5","0","0","0","0","0","0","5"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","0","2","0","0","0","0","1","0","3"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","5","9","0","0","0","0","3","0","17"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","23","29","0","0","0","0","15","1","68","6","TOTAL","42","55","0","0","0","0","11","0","108"
