"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","89","44","5","8","0","9","1","3","8","4","38","16,703","19,468","114","0","50","0","4,397","441","41,173","411","3,040"
"ANNE ARUNDEL","865","246","40","53","3","100","2","18","44","1","261","137,092","120,292","871","0","648","0","55,719","166","314,788","1,395","15,507"
"BALTIMORE CITY","790","330","40","46","7","1","1","1","45","4","145","261,886","31,679","1,593","56","380","26","34,724","1,045","331,389","1,058","18,405"
"BALTIMORE CO.","1,241","713","98","115","2","7","2","2","64","11","301","266,737","123,904","1,272","68","805","10","53,380","5,665","451,841","814","37,841"
"CALVERT","39","30","9","9","0","8","0","0","9","0","35","20,427","20,520","104","0","90","0","7,893","510","49,544","10","4,412"
"CAROLINE","20","24","5","1","0","0","0","0","2","0","8","6,700","6,449","23","8","49","1","2,300","133","15,663","1","1,405"
"CARROLL","116","84","12","15","1","26","1","1","10","1","67","32,126","50,952","217","1","154","0","13,709","35","97,194","64","9,649"
"CECIL","20","8","1","3","0","0","0","0","0","0","4","22,461","20,691","117","27","104","1","9,214","726","53,341","151","4,793"
"CHARLES","165","97","9","10","0","13","1","3","11","7","54","38,045","24,343","100","0","91","0","11,306","924","74,809","120","8,183"
"DORCHESTER","44","18","2","1","0","5","0","1","4","0","13","9,437","6,553","20","0","18","0","1,885","187","18,100","225","761"
"FREDERICK","302","114","18","30","3","12","0","4","21","2","90","45,641","55,605","334","0","230","0","22,351","47","124,208","1,275","7,023"
"GARRETT","40","8","2","2","0","3","0","1","1","2","11","4,825","10,568","30","0","29","0","1,286","194","16,932","9","1,123"
"HARFORD","267","240","15","30","0","24","1","3","14","2","89","58,844","58,235","240","0","235","0","17,746","385","135,685","245","10,464"
"HOWARD","361","253","34","27","0","5","2","2","27","6","103","73,733","52,738","404","15","309","9","28,178","1,745","157,131","135","24,438"
"KENT","14","6","0","0","0","0","0","1","5","0","6","5,896","4,212","39","0","13","0","1,426","128","11,714","5","273"
"MONTGOMERY","1,193","592","84","85","7","64","6","23","143","8","420","279,523","125,159","1,395","0","770","0","106,956","1,673","515,476","8,326","34,274"
"PR. GEORGE'S","481","183","27","17","1","17","1","5","17","23","108","329,084","47,984","631","64","470","23","29,159","33,698","441,113","9,509","26,022"
"QUEEN ANNE'S","26","6","2","3","0","0","0","0","7","1","13","10,861","13,201","53","6","72","1","3,761","236","28,191","47","1,203"
"ST. MARY'S","89","42","7","8","0","1","1","0","7","0","24","21,720","20,100","126","13","86","2","7,921","547","50,515","9","4,027"
"SOMERSET","14","16","2","1","1","2","0","0","0","0","6","7,048","4,011","12","0","10","0","1,359","107","12,547","2","294"
"TALBOT","58","27","1","4","0","1","0","1","1","2","10","10,056","11,149","63","5","68","1","3,497","326","25,165","445","1,452"
"WASHINGTON","228","160","26","14","0","13","0","5","23","0","81","29,679","35,556","205","0","142","0","11,196","967","77,745","4","7,320"
"WICOMICO","434","42","4","8","0","9","0","0","6","1","28","22,967","18,859","91","0","89","1","7,040","592","49,639","21","3,232"
"WORCESTER","47","16","0","4","0","6","0","1","4","1","16","14,761","12,635","54","0","58","0","4,442","421","32,371","10","2,748"
"TOTAL","6,943","3,299","443","494","25","326","19","75","473","76","1,931","1,726,252","894,863","8,108","263","4,970","75","440,845","50,898","3,126,274","24,291","227,889"
