"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","17","8","0","0","6","1","32","1","COUNTY TRANSFER - OUT","22","15","2","0","9","1","49"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","1","0","3"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","DEATH NOTICE","47","25","0","0","8","2","82"
"FROM ANOTHER BOARD","17","21","0","1","14","3","56","0","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","2","0","0","0","1","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","56","43","1","0","35","3","138","41","MOVED OUT OF STATE","1","3","0","0","1","0","5"
"NVRA BY MAIL","0","1","0","0","2","1","4","0","OTHER","1","0","0","0","0","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","5","9","0","0","3","1","18"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","91","75","1","1","57","9","234","42","TOTAL","77","53","2","0","23","4","159"
