"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","217","45","0","5","98","5","370","1","COUNTY TRANSFER - OUT","222","101","0","1","71","2","397"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","2","1","0","0","0","0","3"
"FROM ANOTHER BOARD","4","1","0","0","1","0","6","0","DUPLICATE","1","2","0","0","2","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","1","0","1"
"IN PERSON","6","0","0","0","1","0","7","1","MENTAL INCOMPETENCY","0","0","0","0","1","0","1"
"MOTOR VEHICLE ADMINISTRATION","902","273","8","11","654","15","1,863","20","MOVED OUT OF STATE","354","237","3","1","180","1","776"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","15","5","0","0","5","1","26"
"OTHER MEANS","16","4","1","1","3","0","25","4","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","5,567","2,620","51","17","2,811","9","11,075"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","2","0","0","1","0","3","0","","","","","","","",""
"TOTAL","1,146","326","9","17","758","20","2,276","26","TOTAL","6,161","2,966","54","19","3,071","13","12,284"
