"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","9","3","0","1","4","1","18","1","COUNTY TRANSFER - OUT","15","15","0","0","5","1","36"
"DESIGNATED STATE AGENCIES","2","1","0","0","2","0","5","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","43","25","0","0","8","3","79"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","2","0","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","4","2","0","0","0","0","6","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","88","94","1","3","74","0","260","55","MOVED OUT OF STATE","7","24","0","0","5","0","36"
"NVRA BY MAIL","2","4","0","0","0","0","6","0","OTHER","1","1","0","0","2","0","4"
"OTHER MEANS","2","0","0","0","0","0","2","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","6","4","0","0","5","0","15"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","0","2","0","0","3","0","5","0","","","","","","","",""
"TOTAL","108","106","1","4","83","1","303","57","TOTAL","74","69","0","0","26","4","173"
