"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","165","19","0","0","41","3","228","0","COUNTY TRANSFER - OUT","294","81","0","0","57","32","464"
"DESIGNATED STATE AGENCIES","70","12","0","0","32","1","115","0","CRIMINAL CONVICTION","4","0","0","0","2","1","7"
"ELDERLY / DISABLED","4","1","0","0","1","0","6","0","DEATH NOTICE","2","0","0","0","0","1","3"
"FROM ANOTHER BOARD","387","80","3","3","119","2","594","0","DUPLICATE","4","0","0","0","0","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","824","116","0","1","130","76","1,147"
"IN PERSON","13","4","0","0","4","0","21","0","MENTAL INCOMPETENCY","1","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","378","35","1","2","177","8","601","0","MOVED OUT OF STATE","301","73","2","0","52","38","466"
"NVRA BY MAIL","2","0","0","0","0","0","2","0","OTHER","67","8","0","0","22","2","99"
"OTHER MEANS","311","26","0","0","182","5","524","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","30","3","1","0","4","5","43"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","169","49","3","7","93","1","322","0","","","","","","","",""
"TOTAL","1,500","226","7","12","649","20","2,414","0","TOTAL","1,527","281","3","1","267","155","2,234"
