"Kent","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","3","5","0","0","0","0","8","0","COUNTY TRANSFER - OUT","11","5","0","0","0","0","16"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","0","CRIMINAL CONVICTION","4","0","0","0","1","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","1","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","9","19","0","0","7","0","35","1","MOVED OUT OF STATE","3","3","0","0","0","0","6"
"NVRA BY MAIL","1","1","0","0","0","0","2","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","5","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","15","27","0","0","7","0","49","6","TOTAL","18","8","0","0","1","0","27"
