"Allegany","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","9","5","0","0","2","2","18","2","COUNTY TRANSFER - OUT","9","8","0","1","0","0","18"
"DESIGNATED STATE AGENCIES","0","0","0","0","3","0","3","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","31","25","0","0","0","0","56"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","1","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","1","1","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","35","35","0","1","33","1","105","22","MOVED OUT OF STATE","5","5","0","0","2","0","12"
"NVRA BY MAIL","1","1","0","0","1","0","3","1","OTHER","1","0","0","0","0","0","1"
"OTHER MEANS","0","1","0","0","0","0","1","0","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","4","0","0","1","0","7"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","2","0","0","0","0","3","0","","","","","","","",""
"TOTAL","46","44","0","1","40","4","135","25","TOTAL","49","43","0","1","3","0","96"
