"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","1","0","0","0","0","4","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","8","12","0","0","5","0","25","0","COUNTY TRANSFER - OUT","18","14","0","0","4","0","36"
"DESIGNATED STATE AGENCIES","1","0","0","0","2","0","3","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","2","2","0","0","0","0","4","0","DEATH NOTICE","8","1","0","0","1","0","10"
"FROM ANOTHER BOARD","0","0","0","0","1","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","1","0","1"
"IN PERSON","1","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","29","30","0","1","23","1","84","0","MOVED OUT OF STATE","6","6","0","0","1","0","13"
"NVRA BY MAIL","1","0","0","0","2","0","3","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","3","0","0","0","0","4"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","45","45","0","1","33","1","125","0","TOTAL","33","24","0","0","7","0","64"
