"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","1","0","0","0","0","1"
"BY MAIL","49","11","0","0","13","2","75","7","COUNTY TRANSFER - OUT","32","11","0","0","14","0","57"
"DESIGNATED STATE AGENCIES","14","1","0","0","12","0","27","2","CRIMINAL CONVICTION","1","3","1","0","0","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","22","11","0","0","0","0","33"
"FROM ANOTHER BOARD","4","1","0","0","1","0","6","17","DUPLICATE","1","1","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","2","0","4","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","151","54","1","3","74","6","289","63","MOVED OUT OF STATE","29","19","1","0","11","1","61"
"NVRA BY MAIL","15","0","0","0","2","0","17","1","OTHER","2","0","0","0","0","0","2"
"OTHER MEANS","1","0","0","0","0","0","1","3","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","12","1","0","0","4","0","17"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","237","67","1","3","104","8","420","94","TOTAL","99","47","2","0","30","1","179"
