"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","23","15","0","0","1","0","39","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","233","182","0","6","73","4","498","8","COUNTY TRANSFER - OUT","169","142","2","1","45","1","360"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","4","5","1","0","5","0","15"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","69","31","0","0","7","0","107"
"FROM ANOTHER BOARD","2","0","0","0","1","0","3","0","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","58","72","1","0","35","1","167"
"IN PERSON","35","45","0","0","8","0","88","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","340","297","2","6","237","9","891","37","MOVED OUT OF STATE","20","39","0","0","16","0","75"
"NVRA BY MAIL","40","39","0","0","21","3","103","0","OTHER","42","25","0","0","16","3","86"
"OTHER MEANS","7","11","0","0","4","0","22","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","76","69","0","0","30","0","175"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","12","5","0","0","2","0","19","0","","","","","","","",""
"TOTAL","692","594","2","12","347","16","1,663","48","TOTAL","438","383","4","1","155","5","986"
