"Somerset","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","2","0","0","0","0","3","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","44","12","0","0","14","0","70","0","COUNTY TRANSFER - OUT","42","8","0","0","6","0","56"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","4","1","0","0","0","0","5","0","DEATH NOTICE","5","3","0","0","0","0","8"
"FROM ANOTHER BOARD","5","7","0","0","0","1","13","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","16","1","0","0","0","0","17","0","MAIL VERIFICATION (NVRA)","51","31","0","0","5","0","87"
"IN PERSON","3","1","0","0","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8","4","0","0","4","0","16","0","MOVED OUT OF STATE","1","0","0","0","0","0","1"
"NVRA BY MAIL","4","0","0","0","0","0","4","0","OTHER","21","14","0","0","5","0","40"
"OTHER MEANS","3","0","0","0","0","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","2","0","0","0","0","5"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","88","28","0","0","18","1","135","0","TOTAL","123","58","0","0","16","0","197"
