"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","15","18","0","1","8","0","42","4","COUNTY TRANSFER - OUT","18","8","0","0","2","1","29"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","1","0","0","0","0","1","0","DEATH NOTICE","9","2","0","0","1","0","12"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","1","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","20","7","0","0","1","0","28","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","9","4","0","0","1","0","14","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","24","11","0","0","8","2","45","3","MOVED OUT OF STATE","0","0","0","0","0","0","0"
"NVRA BY MAIL","2","2","0","0","1","0","5","1","OTHER","34","25","0","0","6","0","65"
"OTHER MEANS","13","7","0","0","3","0","23","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","84","50","0","1","22","2","159","9","TOTAL","61","35","0","0","9","1","106"
