"Garrett","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","7","7","0","0","3","0","17","2","COUNTY TRANSFER - OUT","5","8","0","1","2","1","17"
"DESIGNATED STATE AGENCIES","0","3","0","0","0","0","3","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","1","0","0","0","0","2","0","DEATH NOTICE","2","8","0","0","0","0","10"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","3","0","0","0","0","3","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","11","41","0","0","13","1","66","27","MOVED OUT OF STATE","2","2","0","0","0","2","6"
"NVRA BY MAIL","2","3","0","0","1","0","6","1","OTHER","0","0","0","0","1","0","1"
"OTHER MEANS","2","8","0","0","1","0","11","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","1","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","23","66","0","0","18","1","108","31","TOTAL","9","18","0","1","4","3","35"
