"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","0","0","0","1","0","5","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","342","167","2","2","119","0","632","225","COUNTY TRANSFER - OUT","196","117","1","2","91","0","407"
"DESIGNATED STATE AGENCIES","9","7","0","0","1","0","17","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","DEATH NOTICE","143","75","0","0","25","0","243"
"FROM ANOTHER BOARD","10","3","0","0","6","0","19","0","DUPLICATE","4","3","0","0","5","0","12"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","3","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","5","3","0","0","1","0","9","6","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","436","279","3","4","339","1","1,062","404","MOVED OUT OF STATE","89","74","3","1","49","0","216"
"NVRA BY MAIL","32","17","1","0","20","0","70","3","OTHER","24","11","1","0","13","0","49"
"OTHER MEANS","6","2","0","0","1","0","9","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","2","0","","","","","","","",""
"TOTAL","847","478","6","6","488","1","1,826","643","TOTAL","456","280","5","3","183","0","927"
