"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","72","3","0","0","7","0","82"
"BY MAIL","428","53","2","4","110","7","604","67","COUNTY TRANSFER - OUT","541","71","4","3","124","4","747"
"DESIGNATED STATE AGENCIES","5","1","0","0","4","0","10","0","CRIMINAL CONVICTION","117","11","0","0","32","0","160"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","254","24","0","1","10","1","290"
"FROM ANOTHER BOARD","50","3","0","0","18","5","76","4","DUPLICATE","4","2","0","0","2","0","8"
"PROVISIONAL BALLOT","3","0","0","0","0","0","3","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","26","1","0","0","4","0","31","5","MENTAL INCOMPETENCY","4","0","0","0","0","0","4"
"MOTOR VEHICLE ADMINISTRATION","1,171","233","5","7","411","18","1,845","219","MOVED OUT OF STATE","479","78","15","0","123","6","701"
"NVRA BY MAIL","34","3","0","0","8","0","45","0","OTHER","16","1","0","0","14","0","31"
"OTHER MEANS","42","9","0","0","13","2","66","25","VOTER REQUEST","2","1","0","0","3","0","6"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","1"
"SOCIAL SERVICES","9","1","0","0","0","0","10","2","","","","","","","",""
"VOLUNTEER","103","5","0","0","14","2","124","0","","","","","","","",""
"TOTAL","1,871","309","7","11","582","34","2,814","323","TOTAL","1,490","191","19","4","315","11","2,030"
