"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","38","59","1","0","31","0","129","6","COUNTY TRANSFER - OUT","65","70","3","0","30","0","168"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","0","CRIMINAL CONVICTION","5","0","0","0","1","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","36","34","0","0","4","0","74"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","1","0","0","3","0","6","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","114","154","0","4","112","0","384","91","MOVED OUT OF STATE","5","13","1","0","15","0","34"
"NVRA BY MAIL","5","7","0","0","10","0","22","2","OTHER","1","1","0","0","0","0","2"
"OTHER MEANS","1","1","0","0","2","0","4","1","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","121","205","3","4","92","1","426"
"SOCIAL SERVICES","0","1","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","5","28","1","0","2","0","36","0","","","","","","","",""
"TOTAL","166","252","2","4","160","0","584","101","TOTAL","233","324","7","4","142","1","711"
