"Somerset","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","4","4","0","0","0","0","3","1","12","0","COUNTY TRANSFER - OUT","25","10","0","0","0","0","7","0","42"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","0","1","0","0","0","0","0","0","1"
"FROM ANOTHER BOARD","2","1","0","0","0","0","0","0","3","0","DUPLICATE","6","2","0","0","0","0","0","0","8"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","6","2","0","0","0","0","2","0","10"
"IN PERSON","3","1","0","0","0","0","2","0","6","0","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","23","16","1","0","0","1","12","1","54","0","MOVED OUT OF STATE","1","0","0","0","0","0","0","0","1"
"NVRA BY MAIL","3","1","0","0","0","0","2","0","6","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","0","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","1","0","0","0","0","0","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","36","23","1","0","0","1","19","2","82","0","TOTAL","39","17","0","0","0","0","9","0","65"
