"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","137","9","0","0","4","0","67","3","220","11","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","2,727","150","1","0","11","5","455","17","3,366","229","COUNTY TRANSFER - OUT","1,762","284","3","0","0","8","308","170","2,535"
"DESIGNATED STATE AGENCIES","353","19","0","0","1","1","66","3","443","0","CRIMINAL CONVICTION","14","1","0","0","0","0","1","1","17"
"ELDERLY / DISABLED","84","2","0","0","0","0","18","0","104","7","DEATH NOTICE","1","1","0","0","0","0","1","0","3"
"FROM ANOTHER BOARD","704","68","2","0","2","1","185","2","964","67","DUPLICATE","16","2","0","0","0","0","1","2","21"
"PROVISIONAL BALLOT","38","1","0","0","0","0","1","0","40","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","281","7","1","0","4","0","34","0","327","77","MENTAL INCOMPETENCY","2","0","0","0","0","0","0","0","2"
"MOTOR VEHICLE ADMINISTRATION","1,954","96","3","0","7","2","436","14","2,512","188","MOVED OUT OF STATE","3","0","0","0","0","0","0","0","3"
"NVRA BY MAIL","11","0","0","0","0","1","0","0","12","0","OTHER","33","2","0","0","0","0","5","0","40"
"OTHER MEANS","1,131","44","0","0","12","1","193","37","1,418","437","VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","48","1","0","0","0","0","6","0","55","9","","","","","","","","","",""
"VOLUNTEER","687","19","0","0","2","3","91","0","802","0","","","","","","","","","",""
"TOTAL","8,155","416","7","0","43","14","1,552","76","10,263","1,027","TOTAL","1,831","291","3","0","0","8","316","173","2,622"
