"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","22","8","0","0","1","0","0","1","32","7","BOARD ACTION","2","2","0","0","0","0","1","0","5"
"BY MAIL","114","84","0","0","8","1","43","0","250","26","COUNTY TRANSFER - OUT","71","49","0","0","0","1","37","3","161"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","2","0","DEATH NOTICE","6","4","0","0","0","0","0","0","10"
"FROM ANOTHER BOARD","8","9","1","0","0","0","3","0","21","4","DUPLICATE","2","2","0","0","0","0","0","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","23","10","0","0","1","0","9","0","43","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","177","99","0","0","1","2","98","3","380","90","MOVED OUT OF STATE","11","8","0","0","0","0","5","0","24"
"NVRA BY MAIL","39","22","0","0","0","0","9","1","71","4","OTHER","2","2","0","0","0","0","1","0","5"
"OTHER MEANS","5","1","0","0","0","0","5","0","11","5","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","0","0","0","0","0","5","0","8"
"SOCIAL SERVICES","6","0","0","0","0","0","2","0","8","0","","","","","","","","","",""
"VOLUNTEER","33","9","0","0","0","0","3","0","45","0","","","","","","","","","",""
"TOTAL","428","242","1","0","11","3","173","5","863","138","TOTAL","97","67","0","0","0","1","49","3","217"
