"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","645","206","1","0","31","3","336","22","1,244","170","BOARD ACTION","17","4","0","0","0","0","3","0","24"
"BY MAIL","18,115","5,196","66","2","365","101","6,053","178","30,076","2,260","COUNTY TRANSFER - OUT","8,314","2,882","70","0","4","46","2,445","261","14,022"
"DESIGNATED STATE AGENCIES","447","80","1","0","2","4","123","4","661","8","CRIMINAL CONVICTION","113","24","0","0","0","0","26","1","164"
"ELDERLY / DISABLED","138","14","0","0","0","0","24","0","176","39","DEATH NOTICE","739","358","0","0","0","0","69","13","1,179"
"FROM ANOTHER BOARD","1,065","197","6","0","16","2","282","10","1,578","135","DUPLICATE","299","81","5","0","0","1","67","8","461"
"PROVISIONAL BALLOT","57","6","0","0","0","0","1","1","65","6","MAIL VERIFICATION (NVRA)","130","58","1","0","0","1","49","3","242"
"IN PERSON","1,211","283","16","0","28","8","278","15","1,839","185","MENTAL INCOMPETENCY","4","1","0","0","0","0","1","0","6"
"MOTOR VEHICLE ADMINISTRATION","11,799","3,969","76","0","102","112","5,339","121","21,518","2,297","MOVED OUT OF STATE","890","639","12","0","0","9","414","20","1,984"
"NVRA BY MAIL","2,141","727","11","0","25","12","748","15","3,679","137","OTHER","235","60","4","0","1","0","93","7","400"
"OTHER MEANS","1,843","253","7","1","23","11","451","49","2,638","1,330","VOTER REQUEST","10","4","0","0","0","0","1","0","15"
"RECRUITING","9","3","0","0","0","0","5","0","17","8","CONFIRMATION MAIL","338","201","2","0","1","4","164","22","732"
"SOCIAL SERVICES","97","10","1","0","1","2","26","0","137","16","","","","","","","","","",""
"VOLUNTEER","2,700","333","5","0","18","11","521","10","3,598","0","","","","","","","","","",""
"TOTAL","40,267","11,277","190","3","611","266","14,187","425","67,226","6,591","TOTAL","11,089","4,312","94","0","6","61","3,332","335","19,229"
