"Allegany","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","1","0","1","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","24","44","3","0","0","0","18","1","90","13","COUNTY TRANSFER - OUT","26","22","1","0","0","0","13","1","63"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","20","17","0","0","0","0","4","0","41"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","2","0","0","0","1","1","0","4","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","46","50","2","0","0","3","35","0","136","29","MOVED OUT OF STATE","2","3","0","0","0","0","1","0","6"
"NVRA BY MAIL","9","5","0","0","0","0","4","1","19","2","OTHER","2","6","0","0","0","0","2","0","10"
"OTHER MEANS","0","3","0","0","0","0","0","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","1","0","1","0","","","","","","","","","",""
"VOLUNTEER","7","4","0","0","0","0","3","0","14","0","","","","","","","","","",""
"TOTAL","86","108","5","0","0","4","63","2","268","47","TOTAL","50","48","1","0","0","0","20","1","120"
