"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","17","9","2","0","4","0","4","0","36","5","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","308","224","4","0","38","4","165","0","743","55","COUNTY TRANSFER - OUT","95","75","3","0","0","0","58","3","234"
"DESIGNATED STATE AGENCIES","11","4","0","0","0","0","6","0","21","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","3","DEATH NOTICE","27","17","0","0","0","0","2","0","46"
"FROM ANOTHER BOARD","0","0","0","0","0","0","2","0","2","0","DUPLICATE","2","1","1","0","1","0","1","0","6"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","122","64","0","0","10","2","50","0","248","7","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","166","121","1","0","10","7","111","0","416","107","MOVED OUT OF STATE","27","20","0","0","0","2","8","0","57"
"NVRA BY MAIL","12","10","0","0","1","0","7","0","30","3","OTHER","2","1","0","0","0","0","1","0","4"
"OTHER MEANS","4","4","0","0","0","0","2","0","10","2","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","23","2","0","0","0","0","7","0","32","1","","","","","","","","","",""
"VOLUNTEER","40","7","0","0","1","0","3","0","51","0","","","","","","","","","",""
"TOTAL","703","445","7","0","64","13","357","0","1,589","183","TOTAL","153","114","4","0","1","2","70","3","347"
