"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","14","13","0","0","3","0","6","0","36","9","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","372","208","1","0","31","2","163","1","778","35","COUNTY TRANSFER - OUT","136","72","1","0","0","1","55","3","268"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","8","2","0","0","0","0","1","0","11"
"ELDERLY / DISABLED","0","2","0","0","1","0","0","0","3","0","DEATH NOTICE","19","11","0","0","0","0","1","1","32"
"FROM ANOTHER BOARD","159","104","0","0","14","1","90","0","368","27","DUPLICATE","1","0","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","1","0","0","0","0","0","0","1","1","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","1","0","2"
"IN PERSON","102","38","1","0","3","0","30","0","174","9","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","149","85","0","0","8","2","94","1","339","42","MOVED OUT OF STATE","13","17","0","0","0","0","10","0","40"
"NVRA BY MAIL","20","5","0","0","1","0","6","1","33","7","OTHER","3","1","0","0","0","0","1","0","5"
"OTHER MEANS","7","3","0","0","1","0","5","0","16","2","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","1","0","0","0","0","2","1","6"
"SOCIAL SERVICES","7","0","0","0","0","0","4","0","11","3","","","","","","","","","",""
"VOLUNTEER","30","23","0","0","0","0","14","0","67","0","","","","","","","","","",""
"TOTAL","860","482","2","0","62","5","412","3","1,826","135","TOTAL","183","104","1","0","0","1","71","5","365"
