"Garrett","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","1","0","2","","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","29","48","0","0","1","0","24","1","103","","COUNTY TRANSFER - OUT","16","23","1","0","0","0","5","1","46"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","4","0","4","","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","","DEATH NOTICE","4","13","0","0","0","0","1","0","18"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","7","16","0","0","1","0","6","0","30","","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","14","26","0","0","4","0","8","0","52","","MOVED OUT OF STATE","2","2","0","0","0","0","2","0","6"
"NVRA BY MAIL","3","5","0","0","0","0","5","0","13","","OTHER","1","0","0","0","0","0","1","0","2"
"OTHER MEANS","0","1","0","0","0","0","0","0","1","","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","","","",""
"TOTAL","53","97","0","0","6","0","48","1","205","0","TOTAL","23","39","1","0","0","0","9","1","73"
