"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","1","0","1"
"BY MAIL","23","6","0","0","0","0","13","1","43","5","COUNTY TRANSFER - OUT","166","56","1","0","0","0","40","3","266"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","4","0","0","0","0","0","2","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","11","3","0","0","0","0","1","0","15"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","2","1","DUPLICATE","3","0","0","0","0","0","0","0","3"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","201","34","1","0","12","0","59","0","307","24","MOVED OUT OF STATE","106","88","0","0","0","0","46","2","242"
"NVRA BY MAIL","3","1","0","0","0","0","1","0","5","1","OTHER","2","2","0","0","0","0","1","0","5"
"OTHER MEANS","6","0","0","0","0","0","0","0","6","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1,808","1,150","5","0","2","6","690","24","3,685"
"SOCIAL SERVICES","2","0","0","0","1","0","1","0","4","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","237","41","1","0","13","0","74","2","368","31","TOTAL","2,101","1,299","6","0","2","6","781","29","4,224"
