"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"BOARD ACTION","0","0","0","0","0","0","0","0","0"
"COUNTY TRANSFER - OUT","9","9","1","0","0","0","6","0","25"
"CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"DEATH NOTICE","5","1","0","0","0","0","1","0","7"
"DUPLICATE","0","0","0","0","0","0","0","0","0"
"MAIL VERIFICATION (NVRA)","72","64","1","0","0","1","36","1","175"
"MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOVED OUT OF STATE","7","10","0","0","0","0","9","0","26"
"OTHER","0","0","0","0","0","0","0","0","0"
"VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"","","","","","","","","",""
"","","","","","","","","",""
"TOTAL","93","85","2","0","0","1","52","1","234"
