"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","6","0","0","0","0","0","0","0","6","0","BOARD ACTION","8","1","0","0","0","0","0","0","9"
"BY MAIL","194","49","2","0","3","2","50","2","302","28","COUNTY TRANSFER - OUT","534","94","3","0","1","6","85","4","727"
"DESIGNATED STATE AGENCIES","3","0","0","0","0","0","0","0","3","0","CRIMINAL CONVICTION","2","0","0","0","0","0","0","0","2"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","2","1","DEATH NOTICE","9","0","0","0","0","0","0","0","9"
"FROM ANOTHER BOARD","14","0","0","0","0","0","4","0","18","1","DUPLICATE","2","0","0","0","0","0","1","0","3"
"PROVISIONAL BALLOT","4","0","0","0","0","0","2","0","6","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","0","2","0","0","0","0","1","0","3","0","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","489","79","3","1","35","1","135","2","745","139","MOVED OUT OF STATE","532","136","20","0","0","7","182","3","880"
"NVRA BY MAIL","1","0","0","0","0","0","0","0","1","0","OTHER","9","0","0","0","0","0","0","0","9"
"OTHER MEANS","87","4","0","0","0","0","27","0","118","14","VOTER REQUEST","2","0","0","0","1","0","1","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","23","1","0","0","0","0","3","0","27"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","12","1","0","0","0","1","1","0","15","0","","","","","","","","","",""
"TOTAL","811","135","5","1","38","4","221","4","1,219","183","TOTAL","1,121","233","23","0","2","13","272","7","1,671"
