"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","31","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","202","85","0","0","6","1","66","1","361","147","COUNTY TRANSFER-OUT","216","91","3","0","0","0","69","3","382"
"DESIGNATED STATE AGENCIES","46","7","1","0","0","0","10","0","64","7","CRIMINAL CONVICTION","29","5","0","0","0","0","7","0","41"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","3","DEATH NOTICE","583","208","1","0","0","0","35","9","836"
"FROM ANOTHER BOARD","6","2","0","0","1","0","1","0","10","11","DUPLICATE","11","5","0","0","0","0","4","0","20"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","5","MAIL VERIFICATION (NVRA)","603","264","5","0","1","4","187","12","1,076"
"IN PERSON","1","1","0","0","1","0","0","1","4","3","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","604","201","2","0","73","4","218","8","1,110","576","MOVED OUT OF STATE","93","59","0","0","2","3","41","3","201"
"NVRA BY MAIL","14","8","0","0","1","1","11","0","35","7","OTHER","17","4","0","0","2","0","12","2","37"
"OTHER MEANS","7","4","0","0","0","0","2","0","13","620","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","325","98","1","0","2","6","91","6","529"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","14","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","3","","","","","","","","","",""
"TOTAL","882","308","3","0","82","6","308","10","1,599","1,427","TOTAL","1,878","734","10","0","7","13","446","35","3,123"
