"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","21","BOARD ACTION","84","55","0","0","2","0","42","1","184"
"BY MAIL","59","35","0","0","6","3","25","0","128","360","COUNTY TRANSFER - OUT","105","64","2","0","0","2","49","2","224"
"DESIGNATED STATE AGENCIES","2","1","0","0","0","0","1","0","4","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","3","DEATH NOTICE","2","1","0","0","0","0","0","0","3"
"FROM ANOTHER BOARD","2","1","0","0","0","0","1","0","4","14","DUPLICATE","11","10","0","0","0","0","11","2","34"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","5","MAIL VERIFICATION (NVRA)","15","7","0","0","1","0","6","0","29"
"IN PERSON","2","1","0","0","0","0","1","1","5","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","177","76","2","0","28","2","72","2","359","95","MOVED OUT OF STATE","29","16","0","0","0","0","9","1","55"
"NVRA BY MAIL","12","3","0","0","3","1","6","0","25","3","OTHER","5","2","0","0","0","0","5","1","13"
"OTHER MEANS","5","2","0","0","1","0","0","0","8","457","VOTER REQUEST","0","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","0","0","0","0","0","0","330","333"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","0","1","1","","","","","","","","","",""
"TOTAL","260","119","2","0","38","6","106","3","534","964","TOTAL","254","156","2","0","3","2","122","337","876"
