"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","110","146","2","0","0","1","73","2","334"
"BY MAIL","7","10","0","0","0","0","3","0","20","4","COUNTY TRANSFER - OUT","17","8","0","0","1","0","3","0","29"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","3","1","0","0","0","0","2","1","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","34","24","0","0","0","0","6","1","65"
"FROM ANOTHER BOARD","0","0","0","0","0","0","1","0","1","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","5","12","0","0","0","0","6","0","23"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","106","112","1","0","41","0","67","0","327","12","MOVED OUT OF STATE","6","10","0","0","0","0","3","0","19"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","0","1","0","0","0","0","0","0","1"
"OTHER MEANS","0","1","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","1","0","2","0","4"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","113","123","1","0","41","0","71","0","349","16","TOTAL","176","202","2","0","2","1","95","4","482"
