"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","21","17","0","0","0","0","1","1","40","0","COUNTY TRANSFER - OUT","68","73","4","0","2","3","30","0","180"
"DESIGNATED STATE AGENCIES","1","2","0","0","0","0","0","0","3","0","CRIMINAL CONVICTION","7","1","0","0","0","0","3","0","11"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","63","53","0","0","2","0","10","1","129"
"FROM ANOTHER BOARD","0","1","0","0","0","1","0","0","2","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","1","0","0","0","0","0","0","1"
"IN PERSON","0","1","0","0","0","0","0","0","1","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","161","139","1","0","33","3","108","1","446","7","MOVED OUT OF STATE","24","30","0","0","0","0","14","0","68"
"NVRA BY MAIL","6","5","0","0","0","0","2","0","13","0","OTHER","2","0","0","0","0","0","2","0","4"
"OTHER MEANS","0","0","0","0","0","0","1","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","36","25","0","0","0","0","13","0","74"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","2","0","0","0","0","1","0","4","0","","","","","","","","","",""
"TOTAL","190","167","1","0","33","4","113","2","510","8","TOTAL","200","183","4","0","4","3","72","1","467"
