"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","15","19","0","1","2","0","7","0","44","17","COUNTY TRANSFER - OUT","58","65","2","0","5","0","26","0","156"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","1","0","0","0","0","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","37","38","0","0","1","1","7","0","84"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","9","8","0","0","0","0","3","0","20"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","0","0","1"
"IN PERSON","0","1","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","69","91","2","0","18","2","64","1","247","43","MOVED OUT OF STATE","13","16","0","0","0","0","6","0","35"
"NVRA BY MAIL","2","1","0","0","0","0","0","0","3","0","OTHER","0","3","0","0","1","0","0","0","4"
"OTHER MEANS","1","2","0","0","1","0","0","0","4","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","91","113","0","0","1","3","59","0","267"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","3","5","0","0","0","0","0","0","8","0","","","","","","","","","",""
"TOTAL","91","120","2","1","21","2","71","1","309","60","TOTAL","210","243","2","0","8","4","102","0","569"
