"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","1","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","107","41","1","0","6","0","52","0","207","32","COUNTY TRANSFER - OUT","181","79","0","0","7","3","58","0","328"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","1","0","0","1","0","CRIMINAL CONVICTION","7","1","0","0","0","0","2","0","10"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","414","183","1","0","4","0","81","4","687"
"FROM ANOTHER BOARD","12","5","1","0","0","0","4","0","22","4","DUPLICATE","27","15","1","0","0","1","17","0","61"
"PROVISIONAL BALLOT","2","0","0","0","0","0","1","0","3","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","7","1","0","0","0","0","2","0","10","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","654","169","5","0","126","7","396","3","1,360","233","MOVED OUT OF STATE","251","159","2","0","6","4","92","2","516"
"NVRA BY MAIL","5","0","0","0","1","0","1","0","7","1","OTHER","107","13","1","0","9","0","32","0","162"
"OTHER MEANS","11","8","1","0","0","0","7","1","28","5","VOTER REQUEST","0","3","0","0","0","0","1","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","227","105","1","0","1","0","90","1","425"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","10","1","0","0","3","0","6","0","20","0","","","","","","","","","",""
"TOTAL","808","225","8","0","136","8","470","4","1,659","279","TOTAL","1,214","558","6","0","27","8","373","7","2,193"
