"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","99","45","17","6","1","0","1","1","6","2","34","16,590","19,270","126","6","289","100","4,780","459","41,620","24","3,035"
"ANNE ARUNDEL","1,874","416","118","75","2","0","4","3","102","3","307","143,713","117,204","803","44","3,658","979","56,718","85","323,204","134","27,003"
"BALTIMORE CITY","658","377","56","25","0","0","2","2","40","3","128","288,015","31,352","1,414","20","1,578","647","37,455","1,339","361,820","1,622","21,348"
"BALTIMORE CO.","885","911","119","86","1","0","6","0","73","4","289","285,521","124,532","1,274","42","3,668","1,299","58,224","5,623","480,183","1,098","37,072"
"CALVERT","89","39","6","14","0","0","1","0","8","2","31","23,001","21,663","111","9","455","136","9,096","518","54,989","39","3,815"
"CAROLINE","21","9","1","0","0","0","0","0","2","0","3","7,472","7,061","35","3","164","54","2,753","83","17,625","1","1,135"
"CARROLL","229","93","35","39","2","1","2","0","17","0","96","33,413","52,528","238","16","1,118","270","15,483","26","103,092","86","6,458"
"CECIL","92","15","7","10","0","0","0","0","4","0","21","24,106","22,011","134","18","523","189","10,404","755","58,140","78","6,052"
"CHARLES","139","107","19","10","1","0","0","0","17","1","48","48,789","24,495","130","7","921","179","12,330","562","87,413","6","7,371"
"DORCHESTER","44","23","2","3","0","0","1","0","2","0","8","10,260","6,750","25","1","120","39","2,025","154","19,374","21","1,179"
"FREDERICK","251","177","24","26","3","0","5","1","19","0","78","51,257","56,076","345","20","1,296","388","24,337","41","133,760","30","11,352"
"GARRETT","25","11","5","0","0","0","0","0","0","1","6","5,057","10,944","32","3","135","37","1,565","201","17,974","2","1,406"
"HARFORD","307","1,169","36","25","0","0","0","3","19","1","84","63,100","61,456","274","20","1,349","456","20,547","657","147,859","1,613","6,891"
"HOWARD","283","131","26","32","1","0","4","0","22","5","90","83,848","53,553","432","17","2,106","471","30,533","1,773","172,733","370","15,957"
"KENT","20","15","8","1","0","0","0","0","0","0","9","6,160","4,317","41","2","103","29","1,486","128","12,266","34","756"
"MONTGOMERY","1,080","601","119","87","1","0","16","4","145","5","377","319,365","122,677","1,407","31","7,334","1,210","110,245","2,538","564,807","4,037","48,817"
"PR. GEORGE'S","2,369","371","37","20","1","0","5","1","23","14","101","396,334","46,465","679","25","2,261","655","37,553","25,924","509,896","88","9,613"
"QUEEN ANNE'S","21","17","2","6","0","0","1","1","4","0","14","11,116","13,532","63","3","210","93","3,925","219","29,161","0","2,286"
"ST. MARY'S","107","42","18","11","0","0","2","0","11","10","52","24,673","22,384","144","7","424","162","9,469","551","57,814","0","4,722"
"SOMERSET","25","9","3","0","0","0","0","0","0","0","3","7,290","4,046","19","1","92","16","1,393","108","12,965","0","886"
"TALBOT","44","46","9","8","0","0","0","0","4","0","21","9,993","10,705","50","0","162","69","3,327","306","24,612","9","3,354"
"WASHINGTON","265","90","22","20","0","0","1","0","13","426","482","32,131","36,582","219","18","1,632","227","12,905","53","83,767","106","6,868"
"WICOMICO","155","63","16","17","0","0","0","0","11","1","45","25,001","19,282","100","10","465","131","7,423","549","52,961","12","4,219"
"WORCESTER","66","26","19","5","2","0","0","0","10","0","36","15,415","13,276","68","1","313","93","4,791","457","34,414","8","2,984"
"TOTAL","9,148","4,803","724","526","15","1","51","16","552","478","2,363","1,931,620","902,161","8,163","324","30,376","7,929","478,767","43,109","3,402,449","9,418","234,579"
