"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","12","23","1","0","6","3","16","0","61","2","COUNTY TRANSFER - OUT","32","21","1","0","0","0","14","2","70"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","0","0","0","0","0","1","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","17","8","0","0","0","0","0","0","25"
"FROM ANOTHER BOARD","2","0","0","0","0","0","0","0","2","0","DUPLICATE","1","0","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","100","121","1","0","0","3","105","5","335"
"IN PERSON","3","0","0","0","0","0","0","0","3","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","105","96","2","0","25","4","87","0","319","73","MOVED OUT OF STATE","1","9","0","0","0","0","8","0","18"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","0","OTHER","2","1","0","0","1","0","2","0","6"
"OTHER MEANS","0","0","0","0","0","0","1","0","1","8","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","8","10","0","0","0","0","4","0","22"
"SOCIAL SERVICES","3","0","0","0","0","0","0","0","3","0","","","","","","","","","",""
"VOLUNTEER","0","6","0","0","0","0","0","0","6","0","","","","","","","","","",""
"TOTAL","125","125","3","0","31","7","104","0","395","85","TOTAL","163","170","2","0","1","3","134","7","480"
