"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","51","43","1","0","7","2","25","0","129","1","COUNTY TRANSFER - OUT","52","37","1","0","3","2","36","0","131"
"DESIGNATED STATE AGENCIES","2","4","0","0","0","0","3","0","9","0","CRIMINAL CONVICTION","3","5","0","0","1","0","3","0","12"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","67","66","0","0","2","0","12","0","147"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","0","1","1","DUPLICATE","0","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","3","1","0","0","0","0","1","0","5"
"IN PERSON","0","0","0","0","0","0","2","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","131","78","0","1","28","2","83","1","324","32","MOVED OUT OF STATE","18","24","0","0","0","0","12","0","54"
"NVRA BY MAIL","5","6","0","0","0","0","4","0","15","2","OTHER","1","0","0","0","0","0","1","0","2"
"OTHER MEANS","42","38","0","0","17","1","22","0","120","35","VOTER REQUEST","1","0","0","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","54","41","0","0","1","0","34","0","130"
"SOCIAL SERVICES","1","0","0","0","1","0","1","0","3","1","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","233","170","1","1","53","5","140","1","604","73","TOTAL","199","175","1","0","7","2","100","0","484"
