"Caroline","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","4","25","0","0","0","0","0","29","5","COUNTY TRANSFER - OUT","21","19","0","0","0","5","1","46"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","15","6","0","0","0","0","0","21"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","9","11","0","0","0","2","0","22","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","15","25","1","1","0","14","0","56","7","MOVED OUT OF STATE","5","8","0","0","0","2","0","15"
"NVRA BY MAIL","1","0","0","0","0","2","0","3","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","4","4","0","0","0","0","0","8","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","1","0","0","0","2","0","4","0","","","","","","","","",""
"VOLUNTEER","5","10","0","0","0","1","0","16","0","","","","","","","","",""
"TOTAL","40","77","1","1","0","21","0","140","15","TOTAL","41","33","0","0","0","8","1","83"
