"Queen Anne's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","18","17","1","0","0","3","0","39","0","COUNTY TRANSFER - OUT","12","15","0","0","1","5","0","33"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","1","0","0","0","1","0","3"
"FROM ANOTHER BOARD","2","0","0","0","0","1","0","3","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","8","20","0","0","0","1","0","29","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","18","26","0","0","0","20","0","64","6","MOVED OUT OF STATE","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","11","28","0","0","1","14","0","54","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","2","0","0","0","0","0","2","1","VOTER REQUEST","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","1","0","2"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","58","94","1","0","1","40","0","194","7","TOTAL","14","16","0","0","1","8","0","39"
