"Somerset","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","1","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","5","10","0","0","0","1","3","19","0","COUNTY TRANSFER - OUT","20","8","0","0","0","3","0","31"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","2","5","0","0","0","0","0","7"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","1","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","2","4","0","0","0","0","0","6","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","2","3","0","0","0","0","0","5","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","19","9","0","0","1","9","0","38","2","MOVED OUT OF STATE","3","1","0","0","0","0","0","4"
"NVRA BY MAIL","1","1","0","0","0","1","1","4","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","0","3","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","0","0","0","0","1","0","3","0","","","","","","","","",""
"VOLUNTEER","11","0","0","0","0","4","0","15","0","","","","","","","","",""
"TOTAL","42","27","0","0","1","17","5","92","8","TOTAL","25","14","0","0","0","3","0","42"
