"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","3","0","0","0","1","0","4","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","45","109","0","0","3","43","1","201","19","COUNTY TRANSFER - OUT","47","66","1","1","0","15","0","130"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","27","30","0","0","0","7","0","64"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","9","17","0","0","0","0","0","26","23","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","7","23","0","0","0","5","1","36","90","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","91","129","1","0","2","79","3","305","47","MOVED OUT OF STATE","4","20","0","0","0","6","1","31"
"NVRA BY MAIL","8","21","0","0","1","2","0","32","3","OTHER","0","1","0","0","0","0","0","1"
"OTHER MEANS","2","0","0","0","0","1","0","3","3","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","1","2","0","0","0","0","0","3","0","","","","","","","","",""
"TOTAL","163","304","1","0","6","131","5","610","186","TOTAL","78","117","1","1","0","28","1","226"
