"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","2","0","0","0","0","1","6","77","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","36","57","0","0","0","21","0","114","16","COUNTY TRANSFER - OUT","48","41","1","0","2","21","2","115"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","2","0","0","0","3","0","7"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","0","DEATH NOTICE","9","7","0","0","0","1","0","17"
"FROM ANOTHER BOARD","1","1","0","0","0","1","0","3","2","DUPLICATE","0","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","4","3","0","0","0","2","0","9","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","8","12","0","0","0","4","0","24","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","56","57","1","0","2","60","1","177","43","MOVED OUT OF STATE","5","7","0","0","0","2","0","14"
"NVRA BY MAIL","10","16","1","0","0","14","0","41","7","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","4","0","0","0","0","0","4","32","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","1","0","0","0","0","0","3","0","","","","","","","","",""
"VOLUNTEER","4","2","0","0","0","1","0","7","0","","","","","","","","",""
"TOTAL","125","155","2","0","2","103","2","389","179","TOTAL","64","58","1","0","2","27","2","154"
