"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","24","12","0","0","0","2","0","38","94","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","318","162","3","1","7","189","3","683","38","COUNTY TRANSFER - OUT","311","184","2","0","2","125","4","628"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","4","0","0","0","0","2","0","6"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","4","DEATH NOTICE","6","3","0","0","0","0","0","9"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","1","DUPLICATE","2","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","26","9","0","0","0","12","0","47","6","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","46","27","0","0","1","15","1","90","48","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","272","144","0","1","4","200","3","624","56","MOVED OUT OF STATE","35","40","1","0","0","23","1","100"
"NVRA BY MAIL","5","1","0","0","0","2","1","9","1","OTHER","4","3","0","0","0","1","0","8"
"OTHER MEANS","33","4","0","0","1","12","0","50","33","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","6","1","0","0","0","3","0","10","0","","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","0","2","0","","","","","","","","",""
"TOTAL","733","360","3","2","13","435","8","1,554","281","TOTAL","363","230","3","0","2","151","5","754"
