"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","241","177","2","2","2","187","3","614","50","COUNTY TRANSFER - OUT","204","146","1","1","3","101","0","456"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","3","1","0","0","0","1","0","5"
"FROM ANOTHER BOARD","2","2","0","0","0","4","0","8","2","DUPLICATE","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","1","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","7","0","7"
"IN PERSON","56","27","0","0","1","16","1","101","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","480","325","7","1","13","357","3","1,186","175","MOVED OUT OF STATE","7","8","0","0","0","8","0","23"
"NVRA BY MAIL","9","9","0","0","0","19","0","37","3","OTHER","1","0","0","0","0","1","0","2"
"OTHER MEANS","6","7","0","0","0","6","0","19","12","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","3","1","0","0","0","2","0","6","4","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","799","549","9","3","16","591","7","1,974","250","TOTAL","216","155","1","1","3","120","0","496"
