"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","198","100","5","0","1","76","2","382","23","COUNTY TRANSFER-OUT","1,365","355","5","1","13","363","15","2,117"
"DESIGNATED STATE AGENCIES","49","10","0","0","0","10","0","69","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","0","DEATH NOTICE","17","13","0","0","0","2","0","32"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","2","DUPLICATE","36","13","2","0","1","2","0","54"
"PROVISIONAL BALLOT","2","1","0","0","0","0","0","3","0","MAIL VERIFICATION (NVRA)","3,958","1,389","21","2","29","1,077","75","6,551"
"IN PERSON","32","7","1","0","0","5","0","45","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","723","275","11","1","9","385","10","1,414","4","MOVED OUT OF STATE","181","150","1","0","2","56","2","392"
"NVRA BY MAIL","34","12","3","0","0","14","0","63","1","OTHER","29","7","0","0","1","7","0","44"
"OTHER MEANS","16","2","0","0","1","0","0","19","191","VOTER REQUEST","2","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","32","7","0","0","0","9","0","48"
"SOCIAL SERVICES","16","7","0","0","0","12","0","35","6","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,071","414","20","1","11","502","12","2,031","228","TOTAL","5,621","1,934","29","3","46","1,516","92","9,241"
