"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","13","8","0","0","0","6","2","29","0","COUNTY TRANSFER - OUT","33","24","1","0","1","10","1","70"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","90","47","0","0","0","10","0","147"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","188","159","1","0","2","94","5","449"
"IN PERSON","2","0","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","26","31","0","0","0","21","0","78","16","MOVED OUT OF STATE","7","3","0","0","0","1","0","11"
"NVRA BY MAIL","3","0","0","0","0","0","0","3","1","OTHER","2","0","0","0","0","0","0","2"
"OTHER MEANS","0","0","0","0","0","0","0","0","2","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","14","11","0","0","0","14","0","39"
"SOCIAL SERVICES","2","0","0","0","0","0","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","46","40","0","0","0","27","2","115","19","TOTAL","334","244","2","0","3","129","6","718"
