"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","14","18","0","0","0","12","0","44","2","COUNTY TRANSFER - OUT","14","19","0","0","0","8","1","42"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","37","19","0","0","0","3","1","60"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","1","1","0","0","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","10","7","0","0","0","1","0","18"
"IN PERSON","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","60","40","0","0","0","36","0","136","0","MOVED OUT OF STATE","34","28","0","0","0","15","0","77"
"NVRA BY MAIL","0","1","0","0","0","0","0","1","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","31","21","0","0","1","14","0","67"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","75","59","0","0","0","48","0","182","2","TOTAL","128","95","0","0","1","42","2","268"
