"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","448","52","11","9","0","0","0","10","3","33","16,493","19,898","127","13","129","5,460","437","42,557","176","2,945"
"ANNE ARUNDEL","2,880","377","75","68","1","0","1","67","2","214","146,132","122,099","849","89","1,180","63,638","168","334,155","10,198","14,518"
"BALTIMORE CITY","1,302","475","95","42","3","0","1","55","6","202","291,754","32,276","1,420","41","744","41,129","1,370","368,734","912","14,441"
"BALTIMORE CO.","3,588","948","131","68","4","0","3","57","11","274","280,055","125,349","1,273","97","1,484","62,941","5,329","476,528","18,682","50,994"
"CALVERT","216","59","4","9","0","0","1","6","2","22","22,563","21,991","112","12","153","9,741","501","55,073","679","5,276"
"CAROLINE","60","20","2","1","0","0","1","4","0","8","7,077","7,272","32","8","49","2,814","110","17,362","96","1,240"
"CARROLL","295","68","17","14","1","1","0","8","2","43","32,819","54,318","255","59","323","16,577","776","105,127","333","7,206"
"CECIL","176","105","15","5","1","1","1","8","0","31","24,388","22,947","142","32","204","11,489","854","60,056","665","5,472"
"CHARLES","442","172","10","14","0","0","1","14","0","39","52,236","25,113","139","23","199","14,170","586","92,466","853","6,777"
"DORCHESTER","97","25","1","1","0","0","0","0","0","2","10,127","6,909","25","4","43","2,186","145","19,439","173","858"
"FREDERICK","330","256","20","30","2","1","1","28","1","83","50,855","56,898","353","36","452","26,282","55","134,931","55","8,594"
"GARRETT","59","16","4","2","1","0","0","2","0","9","4,807","11,110","36","4","41","1,742","180","17,920","99","1,115"
"HARFORD","399","153","24","17","0","0","0","10","2","53","61,616","63,412","282","39","532","22,674","758","149,313","984","9,897"
"HOWARD","633","135","26","20","2","0","3","21","2","74","85,345","54,655","439","45","578","34,269","1,811","177,142","2,714","17,598"
"KENT","40","34","5","6","0","0","0","0","1","12","5,929","4,343","37","3","34","1,535","127","12,008","114","1,078"
"MONTGOMERY","4,883","607","89","72","4","0","1","82","2","250","324,948","122,686","1,451","69","1,455","123,923","608","575,140","8,049","21,775"
"PR. GEORGE'S","1,822","697","67","45","1","0","0","57","38","208","408,737","46,731","734","68","767","44,858","22,214","524,109","867","6,290"
"QUEEN ANNE'S","116","20","2","4","0","0","0","5","0","11","11,133","14,255","63","8","98","4,442","205","30,204","3","2,072"
"ST. MARY'S","193","74","7","10","0","0","0","8","2","27","24,482","23,573","144","14","202","10,361","508","59,284","934","5,689"
"SOMERSET","22","12","3","3","0","0","0","1","0","7","7,147","4,371","21","4","30","1,549","118","13,240","68","877"
"TALBOT","59","15","2","4","0","0","0","1","0","7","10,150","11,072","53","8","88","3,678","317","25,366","75","3,210"
"WASHINGTON","360","142","13","14","1","0","0","11","0","39","30,934","36,805","220","29","237","14,274","83","82,582","1,372","7,098"
"WICOMICO","263","105","15","12","0","0","1","23","0","51","25,545","20,037","122","11","168","8,406","675","54,964","462","4,392"
"WORCESTER","139","77","12","10","0","0","1","4","1","28","15,130","13,638","66","5","102","5,180","412","34,533","871","4,013"
"TOTAL","18,822","4,644","650","480","21","3","16","482","75","1,727","1,950,402","921,758","8,395","721","9,292","533,318","38,347","3,462,233","49,434","203,425"
