"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","1","0","1"
"BY MAIL","117","41","1","0","4","67","1","231","721","COUNTY TRANSFER - OUT","604","220","5","0","1","249","4","1,083"
"DESIGNATED STATE AGENCIES","2","3","0","0","0","4","0","9","1","CRIMINAL CONVICTION","9","4","0","0","0","1","1","15"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","59","26","0","0","0","9","0","94"
"FROM ANOTHER BOARD","3","0","0","0","0","0","0","3","0","DUPLICATE","19","7","0","0","0","5","0","31"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","253","102","2","0","1","120","1","479"
"IN PERSON","1","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","605","204","3","0","11","467","2","1,292","295","MOVED OUT OF STATE","1,563","759","10","0","5","616","2","2,955"
"NVRA BY MAIL","0","0","0","0","1","0","0","1","0","OTHER","3","2","0","0","1","2","0","8"
"OTHER MEANS","38","8","0","0","0","12","1","59","12","VOTER REQUEST","4","1","0","0","0","0","0","5"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","5","0","0","0","2","0","8"
"SOCIAL SERVICES","3","0","0","0","0","2","0","5","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","770","256","4","0","16","552","4","1,602","1,030","TOTAL","2,515","1,126","17","0","8","1,005","8","4,679"
