"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","1","8","0","0","0","4","0","13","2","COUNTY TRANSFER - OUT","10","5","0","0","0","5","0","20"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","11","2","0","0","0","0","0","13"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","0","DUPLICATE","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","209","172","4","0","5","117","7","514"
"IN PERSON","1","0","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","38","64","0","0","0","56","0","158","18","MOVED OUT OF STATE","4","10","0","0","0","7","0","21"
"NVRA BY MAIL","2","3","0","0","0","2","0","7","1","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","1","0","0","0","1","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","4","0","0","0","0","4","0","8","1","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","48","77","0","0","0","67","0","192","22","TOTAL","235","189","4","0","5","131","7","571"
