"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","7","7","0","0","0","5","0","19","7","COUNTY TRANSFER - OUT","11","11","1","0","0","8","0","31"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","2","DEATH NOTICE","19","13","0","0","0","1","0","33"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","13","5","0","0","0","3","0","21"
"IN PERSON","1","1","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","95","90","2","0","2","69","0","258","30","MOVED OUT OF STATE","7","3","0","0","0","4","0","14"
"NVRA BY MAIL","1","1","0","0","0","0","0","2","1","OTHER","0","1","0","0","0","1","0","2"
"OTHER MEANS","23","42","1","0","1","40","1","108","5","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","1","0","0","0","1","0","3"
"SOCIAL SERVICES","4","0","0","0","0","1","1","6","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","131","141","3","0","3","115","2","395","45","TOTAL","51","35","1","0","0","18","0","105"
