"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","2","0","3","1","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","121","23","3","0","0","36","1","184","97","COUNTY TRANSFER - OUT","257","84","4","0","2","51","17","415"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","2","CRIMINAL CONVICTION","5","0","0","0","0","2","0","7"
"ELDERLY / DISABLED","2","1","0","0","0","1","0","4","4","DEATH NOTICE","311","67","1","0","0","22","13","414"
"FROM ANOTHER BOARD","3","1","0","0","0","0","0","4","45","DUPLICATE","105","4","1","0","1","17","10","138"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","1","0","0","0","0","0","0","1"
"IN PERSON","3","0","0","0","0","2","0","5","14","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","894","90","0","0","3","324","9","1,320","231","MOVED OUT OF STATE","76","19","0","0","0","15","5","115"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","8","1","0","0","0","1","0","10"
"OTHER MEANS","11","1","0","0","0","1","2","15","6,893","VOTER REQUEST","1","0","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","4","0","0","0","0","2","0","6","68","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,040","116","3","0","3","368","12","1,542","7,356","TOTAL","765","175","6","0","3","109","45","1,103"
