"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","79","8","0","0","0","9","0","96","45","BOARD ACTION","1","0","0","0","0","1","0","2"
"BY MAIL","1,249","499","13","2","7","492","25","2,287","390","COUNTY TRANSFER - OUT","2,332","954","20","0","10","769","46","4,131"
"DESIGNATED STATE AGENCIES","21","17","0","0","1","11","0","50","5","CRIMINAL CONVICTION","200","33","0","0","1","43","0","277"
"ELDERLY / DISABLED","19","0","0","0","0","1","0","20","17","DEATH NOTICE","2,093","782","2","1","5","241","40","3,164"
"FROM ANOTHER BOARD","65","43","0","0","0","23","3","134","53","DUPLICATE","184","47","0","0","1","45","8","285"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","11","MAIL VERIFICATION (NVRA)","1,288","821","7","1","16","466","11","2,610"
"IN PERSON","37","36","0","0","0","20","0","93","27","MENTAL INCOMPETENCY","0","0","0","0","0","1","0","1"
"MOTOR VEHICLE ADMINISTRATION","6,140","2,524","42","15","85","3,912","58","12,776","1,486","MOVED OUT OF STATE","427","310","3","1","5","160","10","916"
"NVRA BY MAIL","119","80","1","0","4","85","4","293","23","OTHER","44","15","2","0","0","34","0","95"
"OTHER MEANS","139","65","0","0","3","66","6","279","5,780","VOTER REQUEST","2","6","0","0","0","5","0","13"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","74","37","0","0","1","41","2","155"
"SOCIAL SERVICES","66","9","0","0","1","30","1","107","75","","","","","","","","",""
"VOLUNTEER","101","31","0","0","1","25","1","159","1","","","","","","","","",""
"TOTAL","8,035","3,312","56","17","102","4,674","98","16,294","7,913","TOTAL","6,645","3,005","34","3","39","1,806","117","11,649"
