"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","33","30","2","0","1","18","0","84","2","COUNTY TRANSFER - OUT","73","61","0","0","1","37","1","173"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","1","CRIMINAL CONVICTION","7","2","0","0","0","2","0","11"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","57","42","0","0","1","11","0","111"
"FROM ANOTHER BOARD","2","1","0","0","0","0","0","3","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","49","35","0","0","2","10","0","96"
"IN PERSON","1","2","0","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","158","149","2","0","2","167","2","480","29","MOVED OUT OF STATE","26","56","1","0","1","16","2","102"
"NVRA BY MAIL","6","6","0","0","0","5","0","17","1","OTHER","2","0","0","0","0","2","0","4"
"OTHER MEANS","1","1","0","0","1","0","0","3","1","VOTER REQUEST","2","3","0","0","0","1","0","6"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","34","19","0","0","0","16","1","70"
"SOCIAL SERVICES","0","0","0","0","0","2","0","2","0","","","","","","","","",""
"VOLUNTEER","1","2","0","0","0","4","0","7","0","","","","","","","","",""
"TOTAL","202","192","4","0","4","196","2","600","34","TOTAL","250","218","1","0","5","95","4","573"
