"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","12","5","0","0","0","5","0","22","2","COUNTY TRANSFER - OUT","62","27","0","0","1","22","0","112"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","2","0","0","0","0","2","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","1","DEATH NOTICE","19","11","0","0","0","2","1","33"
"FROM ANOTHER BOARD","3","1","0","0","0","0","0","4","2","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","278","172","2","0","3","130","3","588"
"IN PERSON","2","1","0","0","0","3","0","6","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","52","34","1","0","0","40","1","128","45","MOVED OUT OF STATE","14","28","0","0","0","16","0","58"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","3","2","0","0","0","3","0","8"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","5","2","0","0","0","1","0","8","3","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","74","44","1","0","0","49","1","169","53","TOTAL","378","240","2","0","4","175","4","803"
