"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","9","0","0","0","0","0","0","9","1","BOARD ACTION","1","0","0","0","0","1","0","2"
"BY MAIL","234","44","1","0","1","84","6","370","118","COUNTY TRANSFER - OUT","659","110","2","0","0","87","4","862"
"DESIGNATED STATE AGENCIES","3","0","0","0","0","0","0","3","0","CRIMINAL CONVICTION","7","1","0","0","0","3","0","11"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","1","DEATH NOTICE","267","28","0","0","0","6","0","301"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","1","DUPLICATE","14","3","0","0","0","2","0","19"
"PROVISIONAL BALLOT","191","14","2","0","0","12","0","219","83","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","10","1","0","0","0","2","0","13","41","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","592","125","4","0","5","252","4","982","174","MOVED OUT OF STATE","50","5","0","0","0","4","0","59"
"NVRA BY MAIL","1","1","0","0","0","0","0","2","0","OTHER","0","0","0","0","0","4","0","4"
"OTHER MEANS","32","4","1","0","0","2","0","39","102","VOTER REQUEST","4","0","0","0","0","0","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","0","0","0","2"
"SOCIAL SERVICES","7","1","0","0","0","1","0","9","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","1","","","","","","","","",""
"TOTAL","1,080","190","8","0","6","353","10","1,647","522","TOTAL","1,004","147","2","0","0","107","4","1,264"
