"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","1","0","0","0","0","0","4","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","36","14","0","0","1","9","0","60","9","COUNTY TRANSFER - OUT","58","13","0","0","0","13","0","84"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","24","14","0","0","0","3","0","41"
"FROM ANOTHER BOARD","2","0","0","0","0","1","0","3","0","DUPLICATE","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","2","2","0","0","0","1","0","5"
"IN PERSON","2","0","0","0","0","0","1","3","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","167","41","0","0","1","76","1","286","31","MOVED OUT OF STATE","14","26","0","0","1","7","0","48"
"NVRA BY MAIL","0","1","0","0","0","1","0","2","0","OTHER","1","0","0","0","0","1","0","2"
"OTHER MEANS","1","1","0","0","0","1","1","4","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","5","1","0","0","0","5","1","12"
"SOCIAL SERVICES","2","0","0","0","0","0","0","2","1","","","","","","","","",""
"VOLUNTEER","4","3","0","0","0","3","0","10","0","","","","","","","","",""
"TOTAL","217","61","0","0","2","91","3","374","42","TOTAL","105","56","0","0","1","30","1","193"
