"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","31","39","0","0","1","15","0","86","2","COUNTY TRANSFER - OUT","43","43","1","0","0","14","0","101"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","2","0","4","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","39","36","0","0","0","12","0","87"
"FROM ANOTHER BOARD","0","3","0","0","0","1","0","4","0","DUPLICATE","3","7","0","0","0","3","0","13"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","2","1","0","0","0","1","0","4"
"IN PERSON","10","10","0","0","0","6","0","26","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","180","130","2","1","4","194","1","512","42","MOVED OUT OF STATE","22","32","0","0","2","22","0","78"
"NVRA BY MAIL","10","15","1","0","1","14","0","41","1","OTHER","0","0","0","0","0","2","0","2"
"OTHER MEANS","1","1","0","0","0","0","0","2","212","VOTER REQUEST","0","2","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","1","0","1","0","","","","","","","","",""
"VOLUNTEER","21","10","0","0","0","2","0","33","0","","","","","","","","",""
"TOTAL","254","209","3","1","6","235","1","709","259","TOTAL","109","121","1","0","2","54","0","287"
