"Queen Anne's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","3","6","0","0","1","0","10","0","COUNTY TRANSFER - OUT","12","15","0","0","7","0","34"
"DESIGNATED STATE AGENCIES","7","4","0","0","1","0","12","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","1","0","0","0","0","1"
"FROM ANOTHER BOARD","0","0","0","0","1","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","17","16","0","0","18","0","51","1","MOVED OUT OF STATE","0","0","0","0","1","0","1"
"NVRA BY MAIL","0","2","0","0","2","0","4","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","1","0","1","19","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","21","28","0","0","10","0","59"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","27","29","0","0","24","0","80","20","TOTAL","33","44","0","0","18","0","95"
