"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","30","43","1","0","27","0","101","13","COUNTY TRANSFER - OUT","20","32","2","0","10","0","64"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","3","1","0","0","0","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","28","7","0","0","3","0","38"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","2","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","0","0","0","1","1","3"
"IN PERSON","2","2","0","0","1","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","125","174","1","5","133","2","440","78","MOVED OUT OF STATE","11","22","0","1","10","0","44"
"NVRA BY MAIL","5","2","0","0","2","0","9","0","OTHER","12","5","0","0","10","0","27"
"OTHER MEANS","15","25","0","1","15","0","56","6","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","4","1","0","0","1","0","6","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","0","0","0","5","0","7","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","183","247","2","6","184","2","624","99","TOTAL","75","67","2","1","34","1","180"
