"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","51","84","0","1","40","5","181","9","COUNTY TRANSFER - OUT","79","52","2","2","36","1","172"
"DESIGNATED STATE AGENCIES","0","1","0","0","1","1","3","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","2","1","0","0","7","0","10","0","DEATH NOTICE","2","0","0","0","0","0","2"
"FROM ANOTHER BOARD","1","3","0","0","1","0","5","0","DUPLICATE","1","0","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","3","3","0","0","4","0","10"
"IN PERSON","30","39","1","0","19","0","89","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","161","153","1","2","170","5","492","58","MOVED OUT OF STATE","16","30","0","0","13","0","59"
"NVRA BY MAIL","17","49","0","0","17","1","84","0","OTHER","0","0","0","0","1","0","1"
"OTHER MEANS","8","12","0","1","19","0","40","84","VOTER REQUEST","0","2","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","1"
"SOCIAL SERVICES","0","1","0","0","1","0","2","0","","","","","","","",""
"VOLUNTEER","3","0","0","0","0","0","3","0","","","","","","","",""
"TOTAL","273","343","2","4","275","12","909","156","TOTAL","102","87","2","2","55","1","249"
