"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","1","0","4","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","28","13","0","0","10","2","53","21","COUNTY TRANSFER - OUT","30","24","0","1","14","0","69"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","1","CRIMINAL CONVICTION","3","1","0","0","0","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","2","0","0","0","0","0","2"
"FROM ANOTHER BOARD","2","1","0","0","0","0","3","1","DUPLICATE","0","1","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","4","3","0","0","2","0","9","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","77","47","0","3","55","0","182","49","MOVED OUT OF STATE","4","3","0","0","1","0","8"
"NVRA BY MAIL","4","0","0","0","0","0","4","3","OTHER","5","2","0","0","6","0","13"
"OTHER MEANS","1","0","0","0","2","0","3","3","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","5","1","0","0","3","0","9","1","","","","","","","",""
"VOLUNTEER","4","1","0","0","0","0","5","0","","","","","","","",""
"TOTAL","127","67","0","3","73","2","272","81","TOTAL","45","31","0","1","21","0","98"
